Title,Actors
Avengers: Age of Ultron,Chris Hemsworth
The Nice Guys,Russell Crowe
The Nice Guys,Ryan Gosling
The Nice Guys,Angourie Rice
The Nice Guys,Matt Bomer
Kimi no na wa,Ryûnosuke Kamiki
Kimi no na wa,Mone Kamishiraishi
Kimi no na wa,Ryô Narita
Kimi no na wa,Aoi Yuki
The Void,Aaron Poole
The Void,"Kenneth Welsh,Daniel Fathers"
The Void,Kathleen Munroe
Personal Shopper,Kristen Stewart
Personal Shopper,Lars Eidinger
Personal Shopper,"Sigrid Bouaziz,Anders Danielsen Lie"
The Departed,Leonardo DiCaprio
The Departed,Matt Damon
The Departed,Jack Nicholson
The Departed,Mark Wahlberg
Legend,Tom Hardy
Legend,Emily Browning
Legend,Taron Egerton
Legend,Paul Anderson
Thor,Chris Hemsworth
Thor,Anthony Hopkins
Thor,Natalie Portman
Thor,Tom Hiddleston
The Martian,Matt Damon
The Martian,Jessica Chastain
The Martian,Kristen Wiig
The Martian,Kate Mara
Contratiempo,Mario Casas
Contratiempo,Ana Wagener
Contratiempo,José Coronado
Contratiempo,Bárbara Lennie
The Man from U.N.C.L.E.,Henry Cavill
The Man from U.N.C.L.E.,Armie Hammer
The Man from U.N.C.L.E.,Alicia Vikander
The Man from U.N.C.L.E.,Elizabeth Debicki
Hell or High Water,Chris Pine
Hell or High Water,Ben Foster
Hell or High Water,Jeff Bridges
Hell or High Water,Gil Birmingham
The Comedian,Robert De Niro
The Comedian,Leslie Mann
The Comedian,Danny DeVito
The Comedian,Edie Falco
The Legend of Tarzan,Alexander Skarsgård
The Legend of Tarzan,Rory J. Saper
The Legend of Tarzan,Christian Stevens
The Legend of Tarzan,Christoph Waltz
All We Had,Eve Lindley
All We Had,Richard Kind
All We Had,Mark Consuelos
All We Had,Katherine Reis
Ex Machina,Alicia Vikander
Ex Machina,Domhnall Gleeson
Ex Machina,"Oscar Isaac,Sonoya Mizuno"
The Belko Experiment,John Gallagher Jr.
The Belko Experiment,Tony Goldwyn
